brand_name,product_name,product_shade,product_rating,product_url
Wardah,UV Shield Essential Sunscreen Gel SPF 35 PA +++,Reformulation in July 2023,3.3,https://reviews.femaledaily.com/products/moisturizer/sun-protection-44/wardah/sun-block-spf-33?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Nature Daily Aloe Hydramild Multifunction Gel,,3.2,https://reviews.femaledaily.com/products/treatment/skin-soothing-treatment/wardah/aloe-hydramild-multifunction-gel?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,C-Defense DD Cream,Natural,3.5,https://reviews.femaledaily.com/products/face/bb-cream/wardah/c-defense-dd-cream?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Optimum Hi-Black Eyeliner,Black,4,https://reviews.femaledaily.com/products/eyes/eyeliner/wardah/eyexpert-optimum-hi-black-liner?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening BB Cream,Light,3.1,https://reviews.femaledaily.com/products/face/bb-cream/wardah/lightening-bb-cream-20?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Exclusive Matte Lip Cream,03 See You Latte - Reformulation in May 2023,3.6,https://reviews.femaledaily.com/products/lips/lipstick/wardah/exclusive-matte-lip-cream-03-see-you-latte-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Nature Daily Aloe Seaweed Micellar Water,Reformulation in October 2023,3.9,https://reviews.femaledaily.com/products/makeup-remover/face-62/wardah/micellar-water-19?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening Micellar Gentle Wash,,3.2,https://reviews.femaledaily.com/products/cleanser/facial-wash/wardah/lightening-micellar-gentle-wash?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,EyeXpert Eye and Lip Makeup Remover,,3.8,https://reviews.femaledaily.com/products/makeup-remover/makeup-remover-81/wardah/eye-makeup-remover?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Nature Daily Seaweed Primary Skin Hydrating Booster,,3.9,https://reviews.femaledaily.com/products/treatment/serum-essence-23/wardah/nature-daily-seaweed-primary-skin-hydrating-booster?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Everyday Luminous Face Powder,01 Light Beige,3.6,https://reviews.femaledaily.com/products/powders/loose/wardah/luminous-face-powder-04?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Everyday Cheek & Lip Tint,"RED, Set, Glow!",4.3,https://reviews.femaledaily.com/products/lips/lip-tint/wardah/everyday-cheek-and-liptint?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,White Secret Pure Treatment Essence - Discontinued,,3.8,https://reviews.femaledaily.com/products/treatment/serum-essence-23/wardah/wardah-white-secret-pure-treatment-essence-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening Night Cream,,3.4,https://reviews.femaledaily.com/products/moisturizer/day-cream/wardah/lightening-night-cream-step-3?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening Face Toner,,3.4,https://reviews.femaledaily.com/products/cleanser/toner/wardah/lightening-face-toner-58?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Nature Daily Witch Hazel Purifying Moisturizer Gel,,3.3,https://reviews.femaledaily.com/products/moisturizer/night-cream-16/wardah/nature-daily-witch-hazel-purifying-moisturizer-gel-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening Serum Ampoule,,3.8,https://reviews.femaledaily.com/products/treatment/serum-essence-23/wardah/purifying-serum?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,White Secret Day Cream - Discontinued,,3.6,https://reviews.femaledaily.com/products/moisturizer/day-cream/wardah/white-secret-day-cream-1?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Nature Daily Aloe Hydramild Facial Wash,,3.8,https://reviews.femaledaily.com/products/cleanser/facial-wash/wardah/nature-daily-aloe-hydramild-facial-wash?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Perfect Bright Moisturizer,,3.4,https://reviews.femaledaily.com/products/moisturizer/day-cream/wardah/wardah-perfect-bright-moisturizer?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Pure Olive Oil,,3.9,https://reviews.femaledaily.com/products/moisturizer/face-oil-41/wardah/olive-oil-72?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Exclusive Matte Lip Cream,09 Mauve On - Reformulation in May 2023,4,https://reviews.femaledaily.com/products/lips/lipstick/wardah/wardah-exclusive-matte-lip-cream-47?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening Powder Foundation Light Feel,02 Pink Beige (31C) - Reformulation in October 2023,3.5,https://reviews.femaledaily.com/products/foundation/powder/wardah/lightening-two-way-cake-2?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,C-Defense Energizing Creamy Wash,,3.7,https://reviews.femaledaily.com/products/cleanser/facial-wash/wardah/wardah-c-defense?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening Day Cream,,3.1,https://reviews.femaledaily.com/products/moisturizer/day-cream/wardah/lightening-day-cream-step-2?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Lightening BB Cream,Natural,3.4,https://reviews.femaledaily.com/products/face/bb-cream/wardah/wardah-bb-cream-water-break-technology-oil-control?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,White Secret Night Cream - Discontinued,,3.6,https://reviews.femaledaily.com/products/moisturizer/day-cream/wardah/night-cream-17?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,C-Defense Serum,,3.4,https://reviews.femaledaily.com/products/treatment/serum-essence-23/wardah/c-defense?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Acnederm Acne Spot Treatment Gel,,3.2,https://reviews.femaledaily.com/products/treatment/acne-treatment/wardah/acnederm-acne-spot-treatment-gel?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Eye Shadow,Series G,3.9,https://reviews.femaledaily.com/products/eyes/eye-shadow-pallete/wardah/eye-shadow?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
Wardah,Acnederm Pore Refining Toner,,3,https://reviews.femaledaily.com/products/cleanser/toner/wardah/wardah-acnederm-pore-refining-toner?cat=&cat_id=0&age_range=&skin_type=&skin_tone=&skin_undertone=&hair_texture=&hair_type=&order=newest&page=1
